query_id,query_text,P@5,R@5,F1@5,P@10,R@10,F1@10,P@20,R@20,F1@20,P@50,R@50,F1@50
1,bayesian incentive mechanism,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
2,benchmark learning translate,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
3,careful examination large,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
4,case against implicit,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
5,causal lens controllable,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
6,chinese heart failure,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
7,closer look model,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,0.95,0.95,0.9500000000000001,0.4,1.0,0.5714285714285715
8,comparative benchmark federated,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
9,comparative benchmark real-time,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,0.85,0.85,0.85,0.4,1.0,0.5714285714285715
10,comparison human gpt-3,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
11,comprehensive data-centric overview,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
12,comprehensive review datasets,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
13,comprehensive review transformer-based,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
14,comprehensive survey hallucination,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
15,comprehensive survey vector,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
16,comprehensive taxonomy hallucinations,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
17,computational framework identify,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
18,contrastive learning framework,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
19,convnet,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
20,coopetitive-compatible data generation,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
21,corpus classification fine-grained,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
22,data-centric approach pedestrian,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
23,dataset generation scheme,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
24,diagram worth dozen,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
25,distributed generative approach,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
26,domain knowledge informed,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,0.8,0.8,0.8000000000000002,0.4,1.0,0.5714285714285715
27,fast initialization method,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
28,federated fine-tuning paradigm,0.2,0.05,0.08000000000000002,0.3,0.15,0.2,0.2,0.2,0.20000000000000004,0.1,0.25,0.14285714285714288
29,federated learning framework,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,0.95,0.95,0.9500000000000001,0.4,1.0,0.5714285714285715
30,framework rapidly developing,0.2,0.05,0.08000000000000002,0.1,0.05,0.06666666666666667,0.05,0.05,0.05000000000000001,0.04,0.1,0.05714285714285714
31,introduction,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
32,robust aggregation federated learning,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
33,incentive mechanisms,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
34,system model,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
35,threat model,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
36,game formulation,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
37,verification payment mechanism,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
38,mechanism properties,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
39,theorem individual rationality,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,theorem incentive compatibility,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
41,experimental setup,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
42,experimental results,0.6,0.15,0.24,0.3,0.15,0.2,0.15,0.15,0.15,0.06,0.15,0.08571428571428572
43,overall performance robustness,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
44,detailed analysis mnist,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
45,fedavg,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
46,comprehensive performance analysis methods,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
47,detailed analysis fashionmnist,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
48,algorithm federated broadcast global,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
49,model data,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
50,models figure,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
51,from llms,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
52,performance training,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
53,learning dataset,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
54,reasoning each,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
55,datasets language,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
56,results text,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
57,tasks section,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
58,medical diffusion,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
59,detection methods,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
60,scientific knowledge,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
