alpha,k,P@k,R@k,F1@k
0.0,5,0.728,0.182,0.2912
0.0,10,0.636,0.318,0.42400000000000004
0.0,20,0.521,0.521,0.521
0.0,50,0.30339999999999995,0.7585000000000001,0.4334285714285715
0.3,5,0.894,0.2235,0.3575999999999999
0.3,10,0.8490000000000001,0.42450000000000004,0.566
0.3,20,0.711,0.711,0.711
0.3,50,0.36099999999999993,0.9025,0.5157142857142856
0.5,5,0.956,0.239,0.38239999999999996
0.5,10,0.9430000000000001,0.47150000000000003,0.6286666666666666
0.5,20,0.9315000000000001,0.9315000000000001,0.9315000000000001
0.5,50,0.37599999999999995,0.94,0.537142857142857
0.7,5,0.8699999999999999,0.21749999999999997,0.348
0.7,10,0.791,0.3955,0.5273333333333333
0.7,20,0.626,0.626,0.626
0.7,50,0.336,0.8400000000000002,0.4800000000000001
1.0,5,0.20799999999999996,0.05199999999999999,0.0832
1.0,10,0.166,0.083,0.11066666666666668
1.0,20,0.1215,0.1215,0.12150000000000002
1.0,50,0.0774,0.1935,0.11057142857142857
