query_id,query_text,source,num_relevant,relevant_chunk_indices
1,bayesian incentive mechanism,title,20,"109646,6428,69964,52915,120911,41111,61670,52916,122859,115983,7299,155064,69968,123937,69969,130764,54275,102678,85086,23402"
2,benchmark learning translate,title,20,"96460,9766,31695,121721,146774,104416,95708,38960,143490,93671,95489,7697,43913,29759,90085,75387,70676,146740,84351,68810"
3,careful examination large,title,20,"104696,112745,58972,19323,59113,12494,58959,59100,127274,96749,154777,56703,142459,14031,56705,146758,19321,102098,102272,136800"
4,case against implicit,title,20,"82116,71697,99168,12804,54348,130314,52352,157123,8135,63205,69066,82120,117123,77738,104257,145404,77055,5487,121133,146539"
5,causal lens controllable,title,20,"22300,104387,84403,22367,14879,34561,22512,76815,115202,84576,38142,115221,155606,18118,22422,32453,68128,91270,13052,135045"
6,chinese heart failure,title,20,"107596,86176,19974,107570,30003,1780,29995,9115,57511,137067,118670,152330,141646,80838,86181,39227,152032,575,29193,127572"
7,closer look model,title,20,"153925,136976,88038,36168,131210,140611,138625,79791,123522,118399,72393,2085,77938,51017,135144,82386,152786,79792,71499,142721"
8,comparative benchmark federated,title,20,"129342,47629,33635,51334,65803,361,28118,32507,43237,62098,140897,48624,129341,7270,25129,7240,25118,108179,133276,49187"
9,comparative benchmark real-time,title,20,"43962,50603,19356,119618,49187,19355,19354,19349,28118,18488,101400,19350,14875,31652,95111,18039,37055,106549,19353,45650"
10,comparison human gpt-3,title,20,"54890,146523,39519,38936,85709,103422,85881,30320,92785,78014,58160,23043,23042,120362,136490,147004,100343,100347,118634,108755"
11,comprehensive data-centric overview,title,20,"62642,127272,44757,102624,91696,38399,44572,44760,4939,44758,65180,53886,65157,93728,9129,93259,88483,9133,44945,41008"
12,comprehensive review datasets,title,20,"53864,40559,59258,21849,18143,81930,121988,60431,9129,70194,10734,141422,40597,117590,35226,4939,149741,84586,9147,22856"
13,comprehensive review transformer-based,title,20,"70740,44572,93728,93259,9086,9133,91782,91696,9129,102646,141472,53886,22277,35381,4939,14879,60431,21849,141289,13292"
14,comprehensive survey hallucination,title,20,"44572,93728,35381,93259,9127,42560,120831,91782,53886,47299,65159,35380,137855,9129,141472,102646,91696,141289,141473,9133"
15,comprehensive survey vector,title,20,"91696,44572,93259,115942,93728,9086,35381,102624,53886,9129,141472,102646,91782,14879,18163,76311,35380,21849,9133,60431"
16,comprehensive taxonomy hallucinations,title,20,"44572,35381,9127,93728,42560,120831,91696,9129,91782,9133,93259,47299,35380,102646,65159,4939,38363,53886,115503,137855"
17,computational framework identify,title,20,"57532,22351,132553,148941,64843,14077,85110,148956,2233,114873,8363,279,129761,126877,106783,16276,126913,936,7137,129779"
18,contrastive learning framework,title,20,"26596,31328,66338,97402,95255,73110,34286,51959,34703,4966,90959,1044,113633,72471,14530,101918,59572,2995,4191,67966"
19,convnet,title,20,"1105,6061,14341,142523,149512,46160,103616,87303,149511,3594,46161,45845,150956,134747,3595,46209,3598,155564,59686,33394"
20,coopetitive-compatible data generation,title,20,"71394,150042,75922,57003,30044,62555,15379,73662,59818,34382,114105,72929,1551,68972,121293,82262,69799,127819,24305,45998"
21,corpus classification fine-grained,title,20,"82856,114861,18106,64801,91844,42934,2671,115295,155843,7843,23980,38400,9893,1195,17121,15541,2686,95411,134381,9022"
22,data-centric approach pedestrian,title,20,"57114,42904,104923,86849,112770,149992,11648,16967,47755,14062,93713,81899,104949,44744,6678,59858,115746,15629,4548,18163"
23,dataset generation scheme,title,20,"52133,121351,121343,154482,128143,122184,120005,51086,63905,102973,112127,50940,44992,121314,121344,52603,133328,11443,146885,51962"
24,diagram worth dozen,title,20,"24678,40677,32820,26242,80850,68555,105415,32133,104417,13640,24801,146930,56246,127969,118928,105501,137239,101914,22133,156010"
25,distributed generative approach,title,20,"107121,51774,129721,49087,5011,128114,51773,3431,92267,55511,26017,111133,154395,19691,124849,26067,46354,5182,110414,49760"
26,domain knowledge informed,title,20,"75070,4054,141325,97314,8458,146607,46269,146705,65338,140964,40969,4716,73095,4886,4889,4884,4370,82684,4684,4898"
27,fast initialization method,title,20,"22570,85610,69266,118970,28405,9907,17359,49335,111434,21107,77090,49329,144533,126926,91173,134283,22569,121191,70547,122955"
28,federated fine-tuning paradigm,title,20,"8980,51504,2934,61861,97061,100632,157143,2977,5082,49953,2975,47640,39654,5029,26718,20746,51526,30472,3324,123607"
29,federated learning framework,title,20,"47627,2995,5103,108033,48785,33599,31329,4966,43251,50592,48413,2742,4076,49088,89127,51504,51889,72471,91903,19922"
30,framework rapidly developing,title,20,"81173,41147,97333,101944,88355,15618,142598,59799,2363,53360,127678,9446,84416,716,5815,126871,20775,10646,150017,29390"
31,introduction,section_head,20,"28712,92416,147148,46951,6527,133685,93554,136901,136899,136903,136890,136892,136894,136897,136888,40204,73485,136921,96827,112549"
32,robust aggregation federated learning,section_head,20,"108033,8980,97061,2934,52434,100632,64417,51957,43476,123607,5082,5029,2977,157143,51504,99347,2975,120423,11736,54347"
33,incentive mechanisms,section_head,20,"5077,100696,5028,16105,5027,16133,124810,5024,10,19962,63216,67952,37838,15851,82501,48890,121175,55783,82146,18424"
34,system model,section_head,20,"40495,134227,40410,90701,75612,10981,55774,10983,141931,11315,1692,109677,70118,56508,27397,71334,5043,70151,29589,108954"
35,threat model,section_head,20,"37838,48890,16133,48889,121175,127028,33959,2972,78874,16105,34046,118710,48891,151540,5024,157154,143868,63216,90883,121178"
36,game formulation,section_head,20,"6386,85053,56384,4062,10047,133793,4956,4124,98198,11163,45191,45352,4061,70174,8039,102404,4203,57760,81266,4088"
37,verification payment mechanism,section_head,20,"23314,119834,42639,119785,97321,980,828,119804,4320,1668,55025,119799,705,720,144939,42640,668,3383,120505,33132"
38,mechanism properties,section_head,20,"143320,117206,68056,4169,13939,110695,51295,30904,48223,58472,14058,122436,677,53186,125753,58559,96521,61670,104396,121872"
39,theorem individual rationality,section_head,20,"62158,153499,153488,28615,62155,153478,109419,153454,151414,72487,31131,99434,98808,153470,3158,69122,98613,75869,153388,88976"
40,theorem incentive compatibility,section_head,20,"31146,58479,152241,2818,155390,57979,2814,99448,108954,18476,63666,99456,58012,5557,50973,28610,153557,52331,94209,99649"
41,experimental setup,section_head,20,"97085,24861,67619,62888,94476,86110,121394,47171,56469,43405,87202,67376,154445,96416,79041,2603,155824,153250,121381,54002"
42,experimental results,section_head,20,"121088,134854,7000,7002,129567,147000,20641,40232,131363,121090,121082,60796,121086,63678,145126,65713,124225,64175,63019,62838"
43,overall performance robustness,section_head,20,"106068,52597,58005,43459,125527,105130,39476,53153,145130,139973,52653,142297,84443,40481,81916,102136,51439,52598,31354,28092"
44,detailed analysis mnist,section_head,20,"63584,21107,37918,53468,52710,102812,155897,52227,52737,24382,14305,82918,140950,154826,48407,51814,94589,105389,6516,51798"
45,fedavg,section_head,20,"7056,154858,52726,33209,51113,51703,154860,154862,51257,51837,154906,51829,154852,51793,154857,64172,40484,38787,52336,53501"
